website,battery,weight,laptop_brand,monitor_size,ram_capacity,ram_type,HDD_capacity,SSD_capacity,cpu_brand,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,price
laptop88,2.0,,LG,14.0,8.0,DDR4,0.0,256.0,AMD,6.0,6.0,93.2,93.0,95.0,77.0,139.0,28290000.0
thinkpro,67.0,1.2,Asus,13.0,16.0,LPDDR4x,0.0,1024.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,39990000.0
thinkpro,48.0,1.6,Lenovo,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,51.6,52.0,56.0,41.0,9.64,9990000.0
thinkpro,51.0,1.86,MSI,15.6,8.0,,0.0,512.0,Intel,8.0,16.0,87.9,88.0,90.0,86.0,36.2,20990000.0
thinkpro,42.0,1.25,Dell,13.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,59.6,60.0,66.0,47.0,9.64,18490000.0
thinkpro,80.0,1.48,LG,16.0,16.0,LPDDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,30990000.0
thinkpro,56.0,1.48,Dell,14.0,8.0,DDR4,0.0,256.0,Intel,4.0,8.0,57.3,57.0,63.0,45.0,9.64,15990000.0
laptop88,,,LG,16.0,16.0,LPDDR5,0.0,512.0,Apple,12.0,20.0,114.0,114.0,114.0,126.0,139.0,46990000.0
thinkpro,80.0,2.19,Razer,15.0,16.0,DDR4,0.0,512.0,Intel,6.0,12.0,70.1,70.0,74.0,59.0,79.8,34990000.0
laptop88,,,HP,14.0,16.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,25990000.0
thinkpro,62.0,1.43,Lenovo,14.0,16.0,LPDDR5,0.0,512.0,Intel,12.0,16.0,94.8,95.0,97.0,94.0,36.0,29490000.0
thinkpro,56.5,1.38,Lenovo,14.0,16.0,DDR4,0.0,512.0,AMD,8.0,16.0,70.6,71.0,73.0,68.0,121.0,23990000.0
thinkpro,58.0,1.36,Acer,14.0,8.0,LPDDR4x,0.0,512.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,15.5,21290000.0
laptop88,,,Asus,15.6,16.0,DDR4,0.0,1024.0,Intel,,,,,,,139.0,40990000.0
thinkpro,39.3,1.7,Other,15.6,8.0,DDR4,0.0,512.0,AMD,6.0,12.0,0.0,0.0,0.0,0.0,121.0,7790000.0
laptop88,,,Acer,15.6,16.0,DDR4,0.0,512.0,AMD,,,,,,,88.6,25990000.0
thinkpro,83.0,1.74,HP,15.0,16.0,DDR4,0.0,256.0,Intel,8.0,16.0,81.2,81.0,84.0,76.0,76.2,43990000.0
thinkpro,45.0,1.25,Microsoft,13.0,8.0,LPDDR3,0.0,256.0,Intel,4.0,8.0,53.1,53.0,58.0,41.0,9.64,21990000.0
thinkpro,80.0,1.35,LG,17.0,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,30990000.0
thinkpro,41.0,1.69,HP,15.0,8.0,DDR4,0.0,512.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,139.0,18490000.0
thinkpro,71.0,1.8,Lenovo,15.6,32.0,DDR4,0.0,1024.0,Intel,8.0,16.0,79.1,79.0,81.0,74.0,56.8,56990000.0
laptop88,,,Samsung,15.6,16.0,DDR4,0.0,512.0,AMD,,,,,,,139.0,30290000.0
thinkpro,90.0,2.48,Asus,15.6,32.0,DDR4,0.0,1024.0,AMD,8.0,16.0,78.2,78.0,81.0,76.0,121.0,110000000.0
thinkpro,53.0,,Dell,14.0,4.0,,0.0,256.0,Intel,4.0,8.0,60.2,60.0,67.0,50.0,15.0,21690000.0
thinkpro,55.0,1.34,Razer,13.0,16.0,,0.0,256.0,Intel,4.0,8.0,63.2,63.0,71.0,52.0,11.0,31990000.0
thinkpro,63.0,1.4,Asus,14.0,16.0,DDR5,0.0,512.0,Intel,,,94.8,95.0,97.0,94.0,139.0,33990000.0
thinkpro,90.0,1.81,Lenovo,16.0,16.0,,0.0,512.0,Intel,8.0,16.0,89.2,89.0,92.0,88.0,35.0,54990000.0
laptop88,80.0,2.0,Lenovo,15.6,16.0,DDR5,0.0,512.0,AMD,,,,,,,58.5,33590000.0
thinkpro,80.0,1.15,LG,15.6,16.0,LPDDR5,0.0,1024.0,Intel,8.0,12.0,73.8,74.0,80.0,70.0,139.0,27990000.0
laptop88,,,HP,16.1,8.0,DDR5,0.0,512.0,Intel,,,,,,,58.5,23990000.0
thinkpro,48.0,,Acer,15.6,8.0,DDR4,0.0,256.0,AMD,6.0,12.0,69.5,69.0,71.0,63.0,42.9,20990000.0
thinkpro,65.0,1.36,Lenovo,14.0,16.0,,0.0,512.0,AMD,6.0,12.0,69.6,70.0,74.0,62.0,121.0,35990000.0
thinkpro,42.0,,Dell,15.6,4.0,DDR4,0.0,256.0,Intel,4.0,8.0,65.5,65.0,72.0,55.0,112.0,15190000.0
thinkpro,53.5,2.35,MSI,15.6,8.0,,0.0,512.0,AMD,8.0,16.0,75.1,75.0,78.0,72.0,42.6,17990000.0
thinkpro,72.0,0.999,LG,14.0,16.0,DDR5,0.0,512.0,Intel,12.0,16.0,73.8,74.0,80.0,70.0,139.0,33990000.0
