,cpu_name,number_of_core,number_of_thread,avg_bench,gamming,desktop,workstation
78,AMD Ryzen 5 4680U,6,12,74.7,75.0,75.0,69.0
79,AMD Ryzen 5 5600U,6,12,68.5,69.0,71.0,62.0
80,Intel Core i5 9300H,4,8,65.0,65.0,70.0,52.0
81,Intel Core i5-1240P,12,16,72.4,72.0,78.0,70.0
82,Intel Core™ i5-1140G7,4,8,63.7,64.0,72.0,53.0
83,AMD AMD Ryzen 5 5625U,6,12,70.3,70.0,73.0,64.0
84,AMD Ryzen 7 4700U,8,8,75.2,75.0,76.0,67.0
85,Intel Core i5 1240P,12,16,72.4,72.0,78.0,70.0
86,AMD Ryzen 7-5700U,8,16,72.3,72.0,74.0,69.0
87,AMD Ryzen 5 5625U,6,12,70.3,70.0,73.0,64.0
88,Intel Core i5 12450H,8,12,82.4,82.0,87.0,77.0
89,AMD Ryzen 5-5600H,6,12,73.0,73.0,76.0,67.0
90,AMD Ryzen 7-5800H,8,16,75.1,75.0,78.0,72.0
91,Intel Core i5 11400H,6,12,74.5,74.0,78.0,69.0
92,AMD Ryzen 7 5800H,8,16,75.1,75.0,78.0,72.0
93,AMD Ryzen 7 5825U,8,16,72.4,72.0,75.0,69.0
94,Intel Core i5 11400H,8,12,74.5,74.0,78.0,69.0
95,Intel Core i7 1255U,10,12,65.2,65.0,75.0,59.0
96,Intel Core i5- 1240P,12,16,72.4,72.0,78.0,70.0
97,Intel Core i5 10310U,4,8,62.8,63.0,68.0,51.0
98,Intel Core i5-11320H,4,8,73.0,73.0,80.0,62.0
99,Intel Core i5-11400H,6,12,74.5,74.0,78.0,69.0
100,Intel Core i5-12500H,12,16,94.8,95.0,97.0,94.0
101,Intel Core i5-1240P,10,12,72.4,72.0,78.0,70.0
102,Intel Core i710510U,4,8,56.4,56.0,62.0,44.0
103,Intel® Core i5 11400H,6,12,74.5,74.0,78.0,69.0
104,Apple M1,8,8,0.0,0.0,0.0,0.0
105,Apple Apple M1,8,8,0.0,0.0,0.0,0.0
106,AMD AMD Ryzen 5 PRO 5650U,6,12,69.6,70.0,74.0,62.0
107,Intel® Core i7-11800H,8,16,87.9,88.0,90.0,86.0
108,Intel Core i5-10500H,6,12,77.5,78.0,80.0,68.0
109,Intel Core i5 10300H,4,8,69.8,70.0,74.0,57.0
110,AMD AMD Ryzen 7-5700U,8,16,72.3,72.0,74.0,69.0
111,Intel 11400H,6,12,74.5,74.0,78.0,69.0
112,Intel Core i5,6,6,93.2,93.0,95.0,77.0
113,AMD AMD Ryzen 7 6800HS,8,16,79.6,80.0,82.0,79.0
114,Intel Core i7 11370H,4,8,68.6,69.0,75.0,59.0
115,Intel Core i7 10610U,4,8,64.5,64.0,71.0,52.0
116,Intel Core i7 11800H,8,16,87.9,88.0,90.0,86.0
117,AMD Ryzen™ 5 5500U,6,12,69.5,69.0,71.0,63.0
118,AMD Ryzen 5 5650U,6,12,69.6,70.0,74.0,62.0
119,Intel Core i7 8750H,6,12,70.1,70.0,74.0,59.0
120,Intel Core i5-1130G7,4,8,66.0,66.0,74.0,55.0
121,Intel Core i5-1235U Processor,10,12,63.6,64.0,72.0,59.0
122,Intel Core i5 11100H,6,12,74.5,74.0,78.0,69.0
123,Intel® Core™ i7-11375H,4,8,75.3,75.0,83.0,64.0
124,Intel Core i7-11800H,8,16,87.9,88.0,90.0,86.0
125,Intel Core i5 8265U,4,8,52.7,53.0,58.0,41.0
126,Intel Core i7 1185G7,4,8,60.9,61.0,69.0,51.0
127,AMD Ryzen 9 5900HX,8,16,78.2,78.0,81.0,76.0
128,Intel Core i7 1065G7,4,8,53.2,53.0,59.0,43.0
129,AMD Ryzen 7 Pro 5850U,8,16,72.8,73.0,77.0,67.0
130,Intel Core i5-12450H,8,12,82.4,82.0,87.0,77.0
131,Intel Core i7 9850H,6,12,77.1,77.0,80.0,67.0
132,Core i5 1235U,10,12,63.6,64.0,72.0,59.0
133,AMD Ryzen 7-4800H,8,16,45.4,45.0,46.0,39.0
134,Intel Core i7 6820HQ,4,8,60.1,60.0,63.0,48.0
135,AMD Ryzen 5 6600H,6,12,76.8,77.0,81.0,72.0
136,Intel Core i5-11300H,4,8,66.4,66.0,73.0,57.0
137,Core i7-1195G7,4,8,67.3,67.0,77.0,56.0
138,AMD Ryzen 7 5800U,8,16,70.6,71.0,73.0,68.0
139,Intel Core i5-1240P,16,12,72.4,72.0,78.0,70.0
140,Intel Core i7 1195G7,4,8,67.3,67.0,77.0,56.0
141,Intel Core i5 1035G4,4,8,55.5,55.0,61.0,45.0
142,Intel Core i5 10200H,4,8,73.1,73.0,77.0,60.0
143,Intel Core i5 1250P,12,16,82.6,83.0,87.0,79.0
144,Intel Core i 5 11300H,4,8,66.4,66.0,73.0,57.0
145,Intel Core i7 7820HQ,4,8,63.0,63.0,67.0,51.0
146,AMD Ryzen 5 PRO 5650U,6,12,69.6,70.0,74.0,62.0
147,Intel Core i5 1130G7,4,8,66.0,66.0,74.0,55.0
148,Intel Core i7 10750H,6,12,76.8,77.0,80.0,67.0
149,Intel Core i7-1265U,10,12,73.1,73.0,83.0,66.0
150,AMD Ryzen 7 4800H,8,16,73.9,74.0,76.0,71.0
151,AMD Ryzen R7 4800H,8,16,73.9,74.0,76.0,71.0
152,Intel Core i7 1180G7,4,8,68.8,69.0,78.0,58.0
153,Intel Core i7-11370H,4,8,68.6,69.0,75.0,59.0
154,Apple M2,8,0,0.0,0.0,0.0,0.0
155,Intel Core i7-1260P,8,12,73.8,74.0,80.0,70.0
156,Intel Core i7 1260P,12,16,73.8,74.0,80.0,70.0
157,Intel Core i5 12500H,12,16,94.8,95.0,97.0,94.0
158,AMD Ryzen 7 5800HS,8,16,73.6,74.0,75.0,73.0
159,AMD Ryzen™ 7-5800HS,8,16,73.6,74.0,75.0,73.0
160,AMD AMD Ryzen™ 5 5600H,6,12,73.0,73.0,76.0,67.0
161,Intel Xeon 2276M,6,12,81.7,82.0,85.0,72.0
162,Intel Core i7 10870H,8,16,79.1,79.0,81.0,74.0
163,Intel Core i7 1260P,12,16,73.8,74.0,80.0,70.0
164,Intel Core i5-11400H,4,8,74.5,74.0,78.0,69.0
165,Intel 12th,12,20,114.0,114.0,114.0,126.0
166,Intel Core i7 9750H,6,12,73.3,73.0,76.0,62.0
167,Intel Core i7-1250U,10,12,54.2,54.0,64.0,49.0
168,Intel Core i7 10850H,6,12,79.5,79.0,83.0,70.0
169,Intel Core i7 8850H,6,12,70.7,71.0,74.0,60.0
170,Intel 1135G7,4,8,60.2,60.0,67.0,50.0
171,AMD Ryzen 7 6800H,8,15,78.1,78.0,81.0,77.0
172,Intel Core i5-12500H,12,16,94.8,95.0,97.0,94.0
173,Intel Core i5 1245U,10,12,72.3,72.0,81.0,67.0
174,AMD Ryzen™ 7 6800H,8,16,78.1,78.0,81.0,77.0
175,AMD Ryzen 9 5900HS,8,16,76.1,76.0,79.0,73.0
176,Intel Core i7-1255U,10,12,65.2,65.0,75.0,59.0
177,Intel,8,8,96.9,97.0,97.0,89.0
178,Intel Core i7 12700H,14,20,98.1,98.0,100.0,104.0
179,Intel Core i5-1240P,12,16,72.4,72.0,78.0,70.0
180,AMD Ryzen 7 6800U,8,16,73.6,74.0,78.0,70.0
181,Intel Core i7 1186G7,4,8,60.9,61.0,69.0,51.0
182,Intel Core i7 11850H,8,16,89.2,89.0,92.0,88.0
183,Intel Core i7-1260P,12,14,73.8,74.0,80.0,70.0
184,AMD Ryzen 7 6800HS,8,16,75.7,76.0,78.0,74.0
185,Intel Core i7-12700H Processor,14,20,98.1,98.0,100.0,104.0
186,Intel Core i9 10885H,8,16,81.2,81.0,84.0,76.0
187,Intel Core i9-12900H,14,20,100.0,100.0,103.0,106.0
188,Intel Core i7-1260P,14,20,73.8,74.0,80.0,70.0
189,Intel Core i7 1250U,10,12,54.2,54.0,64.0,49.0
190,Intel Core i7 1265U,10,12,73.1,73.0,83.0,66.0
191,Intel® Core i7-12700H,14,20,98.1,98.0,100.0,104.0
192,Intel Core i7-1280P,14,20,80.7,81.0,87.0,81.0
193,Apple M1 Pro,10,0,0.0,0.0,0.0,0.0
194,Core i7-11850H,8,16,89.2,89.0,92.0,88.0
195,Intel Core i7-10870H,8,16,79.1,79.0,81.0,74.0
196,AMD Ryzen 7 5800U,8,16,70.6,71.0,73.0,68.0
197,AMD AMD Ryzen™ 9 6900HX,8,16,79.6,80.0,83.0,78.0
198,Intel Core i9-12900HK,14,20,101.0,101.0,104.0,106.0
199,Intel  Core i9 12900H,14,20,100.0,100.0,103.0,106.0
200,Intel Core i9 12900HK,14,20,101.0,101.0,104.0,106.0
201,Intel Core i9-12900HX,16,24,103.0,103.0,106.0,116.0
202,Intel Core i9-12900H,14,0,100.0,100.0,103.0,106.0
203,Intel Core i7 10700K,8,16,96.5,97.0,97.0,96.0
204,Intel Core i9 12900HX,16,24,103.0,103.0,106.0,116.0
205,Intel Core i9 12900H,14,20,100.0,100.0,103.0,106.0
206,Intel Core i9 11980HK,8,16,93.0,93.0,95.0,94.0
207,Intel Core i9 11900H,8,16,90.7,91.0,92.0,91.0
208,Intel Core i9-12900H,16,24,100.0,100.0,103.0,106.0
209,Intel Core i9-12900HX Processor,16,24,103.0,103.0,106.0,116.0
